Date,Open,High,Low,Close,Adj Close,Volume
453,195.690002,197.550003,192.130005,196.399994,196.399994,10130700
454,190.050003,195.119995,189.729996,193.149994,193.149994,7026500
455,190.860001,198.809998,187.869995,198.550003,198.550003,7205400
456,201.889999,204.050003,199.410004,201.789993,201.789993,6212400
457,205.130005,211.779999,203,210.190002,210.190002,5994900
458,212.970001,213.5,209.020004,212.279999,212.279999,4843100
459,206.139999,218.240005,206,216.5,216.5,5400000
460,209.729996,214.539993,208,213.979996,213.979996,5175300
461,210,215.229996,209,214.440002,214.440002,4919900
462,213.100006,218.119995,213.009995,215.940002,215.940002,3599700
463,217.800003,219.809998,214.5,216.779999,216.779999,4074800
464,219.960007,226.779999,219.509995,224.779999,224.779999,5429800
